,Sig.,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups,Groups
,,Group A,Group A,Group A,Group A,Group A,Group A,Group B,Group B,Group B,Group B,Group B,Group B,Group C,Group C,Group C,Group C,Group C,Group C
,,N,Mean,Standard Deviation,Standard Deviation Error,95% Upper Bound Mean,95% Lower Bound Mean,N,Mean,Standard Deviation,Standard Deviation Error,95% Upper Bound Mean,95% Lower Bound Mean,N,Mean,Standard Deviation,Standard Deviation Error,95% Upper Bound Mean,95% Lower Bound Mean
Feature,,,,,,,,,,,,,,,,,,,
Smoothed_50Px_NearbyDetectionCounts,6.946191729738952e-52,367.0,2.4697072139809264,0.4241468281574249,0.022140284208637607,2.513043009506711,2.4263714184551417,400.0,2.4564765296675,0.42859780283679266,0.021429890141839637,2.4984265782590565,2.4145264810759435,76.0,1.6354538833421053,0.30915193181407585,0.035462158657314044,1.7045009249337957,1.566406841750415
Smoothed_20Px_Nucleus_Area,1.2407182288247154e-28,367.0,603.7373268302453,67.42574266843293,3.51959511790454,610.6263284765546,596.8483251839359,400.0,566.0881442570001,87.23841474629995,4.361920737314994,574.6268155087778,557.5494730052221,76.0,676.0433282500001,79.69019557665113,9.141092350253011,693.8416069673401,658.2450495326602
Smoothed_20Px_Nucleus_Perimeter,4.345763615848522e-45,367.0,98.11731824128064,6.602746630037067,0.34466056856232513,98.79193198084549,97.4427045017158,400.0,95.140453567775,7.53776859521076,0.37688842976053794,95.87823093561981,94.40267619993018,76.0,108.52956993368423,6.817590720133368,0.7820312891442645,110.05223378134626,107.0069060860222
Smoothed_20Px_Nucleus_Circularity,4.027888767824971e-60,367.0,0.7815587124959129,0.028942620236069427,0.0015107924785221034,0.7845158287331824,0.778601596258643,400.0,0.7787921695875,0.030485391709335855,0.0015242695854667926,0.7817760011775706,0.7758083379974293,76.0,0.7123721742368421,0.044852385750374514,0.005144921496383851,0.7223896582817262,0.7023546901919577
Smoothed_20Px_Nucleus_MaxCaliper,1.0342204577502003e-49,367.0,36.22340059307902,2.8877429084927635,0.15073895281324018,36.5184461478392,35.92835503831884,400.0,34.896818439775004,3.0071953193792393,0.15035976596896214,35.1911549691209,34.60248191042909,76.0,40.8735368725,3.3429318094746785,0.38346057717493937,41.620158607426745,40.126915137573235
Smoothed_20Px_Nucleus_MinCaliper,1.1406121876890018e-06,367.0,22.930437488201633,1.0237914077242687,0.0534414764713589,23.035039979982447,22.82583499642082,400.0,22.4531749218,1.5259035299521675,0.07629517649760838,22.60252642757964,22.303823416020357,76.0,23.06443613473684,2.0326533377619977,0.2331613285935577,23.518415829220352,22.61045644025333
Smoothed_20Px_Nucleus_Eccentricity,3.643043354837542e-30,367.0,0.7163260671389645,0.03755595130728312,0.00196040470061087,0.720163221913171,0.7124889123647581,400.0,0.7116215000149999,0.03770577662272007,0.001885288831136004,0.7153120442759274,0.7079309557540724,76.0,0.7712626212105264,0.05668943603334617,0.006502724285149188,0.7839238322359128,0.7586014101851397
Smoothed_20Px_Nucleus_HematoxylinODMean,3.8500887909434516e-56,367.0,0.6866119585013624,0.07185102000959355,0.00375059271480034,0.6939530981840082,0.6792708188187165,400.0,0.6088047636925,0.04957369213577501,0.002478684606788748,0.6136569089442817,0.6039526184407183,76.0,0.6861465925789474,0.09710992783984344,0.011139272680747485,0.7078354534156838,0.6644577317422108
Smoothed_20Px_Nucleus_HematoxylinODSum,8.444761987024684e-62,367.0,419.0677162485013,73.15530813592744,3.8186760007992775,426.5421172449122,411.59331525209063,400.0,346.768695639,60.30534506856304,3.0152672534281537,352.67122742803986,340.8661638499601,76.0,475.560159231579,92.99616209656736,10.667391387264857,496.3302376667055,454.7900807964523
Smoothed_20Px_Nucleus_HematoxylinODStdDev,4.177198632468807e-158,367.0,0.27211649083106265,0.02593275084140003,0.0013536785750223276,0.2747660836448675,0.2694668980172578,400.0,0.318181449095,0.023432542355413078,0.0011716271177706539,0.32047496596309183,0.3158879322269082,76.0,0.3714609336842105,0.03960789221108989,0.004543336829336647,0.38030709474427804,0.3626147726241431
